"","e_q9","enjoy","fun","energy","BodyIsGood","success"
"1",6,"1","2","1","1","1"
"2",4,"2","2","2","3","2"
"3",7,"1","1","1","1","1"
"4",2,"3","5","1","2","3"
"5",1,"2","3","1","3","2"
"6",6,"1","1","1","1","1"
"7",1,"1","1","1","1","1"
"8",4,"2","4","2","2","1"
"9",4,"1","1","1","3","2"
"10",3,"2","2","2","1","3"
"11",7,"3","3","1","1","1"
"12",4,"1","1","1","4","1"
"13",2,"2","2","2","2","2"
"14",3,"2","2","2","2","2"
"15",2,"1","1","1","2","1"
"16",5,"2","2","2","2","2"
"17",4,"1","1","1","1","1"
"18",4,"1","1","2","2","2"
"19",4,"2","1","2","2","3"
"20",5,"2","1","1","2","3"
"21",4,"1","1","1","5","1"
"22",3,"2","3","4","2","3"
"23",6,"2","2","1","1","1"
"24",5,"1","1","1","1","1"
"25",3,"1","1","1","1","1"
"26",6,"1","1","1","1","1"
"27",4,"1","1","1","1","1"
"28",2,"2","2","1","1","2"
"29",2,"3","3","2","1","1"
"30",1,"2","1","4","5","2"
"31",3,"1","2","1","1","2"
"32",7,"2","2","1","1","1"
"33",7,"1","2","1","1","1"
"34",4,"1","2","1","2","1"
"35",5,"2","2","2","2","2"
"36",5,"1","1","1","1","1"
"37",7,"2","1","1","2","1"
"38",7,"5","2","2","1","4"
"39",2,"1","1","1","2","1"
"40",3,"2","2","1","2","2"
"41",2,"2","2","2","2","2"
"42",3,"1","2","1","1","2"
"43",5,"1","1","1","1","1"
"44",2,"1","1","1","1","1"
"45",7,"2","1","2","1","1"
"46",7,"4","5","1","1","2"
"47",5,"1","1","1","1","1"
"48",5,"2","1","1","1","1"
"49",2,"2","2","2","2","3"
"50",5,"1","1","1","2","2"
"51",2,"3","2","3","2","2"
"52",4,"1","1","3","2","1"
"53",4,"1","1","2","2","3"
"54",2,"3","2","1","2","1"
"55",4,"1","2","1","1","1"
"56",6,"1","1","1","1","1"
"57",5,"1","1","1","1","1"
"58",6,"1","1","1","3","2"
"59",2,"3","3","3","2","3"
"60",7,"1","1","2","3","2"
"61",2,"1","2","2","2","2"
"62",5,"2","2","2","2","2"
"63",2,"1","1","2","1","1"
"64",3,"1","1","1","1","1"
"65",7,"1","1","1","1","1"
"66",2,"2","2","4","4","2"
"67",6,"1","1","1","2","1"
"68",4,"1","1","2","1","1"
"69",4,"1","1","3","3","1"
"70",4,"1","2","2","1","1"
"71",2,"3","3","2","3","3"
"72",5,"1","1","1","1","3"
"73",7,"1","1","1","1","3"
"74",2,"1","1","1","4","1"
"75",3,"2","2","3","4","1"
"76",7,"1","1","1","2","1"
"77",1,"2","1","1","1","2"
"78",4,"1","1","1","1","1"
"79",3,"1","1","1","1","1"
"80",5,"2","2","2","2","2"
"81",4,"2","3","3","2","1"
"82",6,"2","2","1","2","1"
"83",3,"2","3","1","2","3"
"84",7,"3","4","2","2","4"
"85",1,"3","3","3","3","3"
"86",5,"3","1","1","2","4"
"87",5,"1","1","1","1","1"
