"","pe_class","enjoy_pe","veggies","fruit"
"1",2,"1","4","5"
"2",2,"6","2","6"
"3",2,"1","1","4"
"4",2,"2","1","2"
"5",2,"5","2","5"
"6",2,"1","1","3"
"7",2,"1","1","1"
"8",2,"4","2","6"
"9",1,"6","1","2"
"10",2,"4","4","5"
"11",1,"6","4","7"
"12",1,"6","1","1"
"13",2,"4","1","2"
"14",2,"5","1","2"
"15",2,"1","1","3"
"16",2,"1","1","2"
"17",2,"6","1","2"
"18",2,"5","2","1"
"19",2,"4","1","3"
"20",2,"5","1","5"
"21",2,"5","2","1"
"22",2,"5","2","2"
"23",1,"6","2","6"
"24",2,"1","5","6"
"25",2,"1","2","3"
"26",1,"5","2","3"
"27",2,"5","1","2"
"28",2,"5","3","2"
"29",2,"1","1","4"
"30",2,"1","1","2"
"31",2,"6","1","5"
"32",1,"6","2","6"
"33",1,"5","2","4"
"34",2,"5","1","2"
"35",2,"1","4","5"
"36",2,"5","2","3"
"37",2,"1","4","5"
"38",2,"1","2","2"
"39",1,"2","1","1"
"40",2,"1","2","3"
"41",2,"1","2","2"
"42",2,"4","2","4"
"43",1,"5","2","5"
"44",2,"6","1","6"
"45",2,"5","4","3"
"46",2,"1","1","2"
"47",1,"5","6","5"
"48",2,"4","1","2"
"49",2,"4","1","4"
"50",1,"5","1","4"
"51",2,"4","2","2"
"52",2,"6","2","2"
"53",2,"1","1","2"
"54",2,"1","3","2"
"55",2,"5","2","5"
"56",2,"5","1","7"
"57",2,"1","7","7"
"58",2,"1","1","1"
"59",2,"3","1","3"
"60",2,"1","1","2"
"61",2,"1","2","5"
"62",2,"3","1","6"
"63",2,"5","2","3"
"64",2,"1","3","6"
"65",2,"6","5","7"
"66",2,"2","1","2"
"67",2,"1","2","3"
"68",1,"1","1","3"
"69",2,"1","1","4"
"70",2,"5","2","4"
"71",2,"1","1","3"
"72",2,"2","",""
"73",2,"6","1","2"
"74",2,"1","1","3"
"75",2,"1","1","2"
"76",2,"2","7","7"
"77",2,"1","2","2"
"78",2,"1","2","2"
"79",2,"1","2","4"
"80",2,"1","4","2"
"81",2,"6","2","5"
"82",2,"1","3","4"
"83",2,"1","1","2"
"84",1,"1","1","3"
"85",2,"1","7","7"
"86",2,"4","2","6"
"87",1,"6","1","1"
"88",2,"1","1","6"
"89",2,"1","1","6"
"90",1,"5","1","3"
"91",2,"4","5","5"
"92",1,"1","6","1"
"93",2,"1","1","6"
"94",2,"5","1","2"
"95",2,"3","2","4"
"96",2,"1","1","7"
"97",2,"1","2","2"
"98",2,"5","2","1"
"99",1,"5","6","2"
"100",1,"5","3","2"
"101",2,"1","2","2"
"102",1,"4","1","3"
"103",2,"5","2","3"
"104",2,"5","2","2"
"105",2,"5","2","2"
"106",2,"4","2","2"
"107",2,"4","1","6"
"108",2,"5","",""
"109",2,"1","1","7"
"110",2,"4","",""
"111",1,"2","4","6"
"112",0,"","3","1"
"113",2,"5","2","3"
"114",1,"5","1","2"
"115",2,"4","3","1"
"116",2,"1","2","6"
"117",2,"1","1","3"
"118",1,"5","3","3"
"119",1,"6","3","3"
